request_id,estimated_ttft,current_time,estimated_completion_time,deadline,time_until_deadline,slack,remaining_prefill_tokens,queue_position,ahead_prefill_tokens,is_violation,actual_ttft,absolute_error,relative_error,percent_error
138,72.66356317797548,15.319307875740511,87.982871053716,1000015.2115227712,999999.8922148956,999927.2286517177,1177,125,1800309,False,118.493302,45.829738822024524,0.38677071233971116,38.67707123397112
139,72.74479856711558,15.482139670713355,88.22693823782893,1000015.402352586,999999.9202129152,999927.175414348,2014,126,1801486,False,118.40477,45.65997143288442,0.3856261148337556,38.562611483375555
140,72.78291547016295,15.482139670713355,88.2650551408763,1000015.4131467624,999999.9310070918,999927.1480916216,945,127,1803500,False,118.444479,45.66156352983705,0.3855102738037883,38.55102738037883
141,72.90335681672319,15.645932888563452,88.54928970528664,1000015.4964984668,999999.850565578,999926.9472087614,2986,128,1804445,False,118.514653,45.61129618327681,0.3848578638058942,38.485786380589424
142,72.94703999767589,15.645932888563452,88.59297288623934,1000015.5808399392,999999.9349070505,999926.9878670528,1083,129,1807431,False,118.484612,45.53757200232411,0.384333216218188,38.4333216218188
143,73.48116066450469,15.980442607817174,89.46160327232187,1000015.9280681504,999999.9476255426,999926.4664648782,13242,130,1808514,False,118.707889,45.22672833549531,0.3809917665665448,38.099176656654485
145,76.13014425258162,16.14912542747634,92.27926968005796,1000016.1142532392,999999.9651278117,999923.8349835592,24621,132,1862809,False,121.163629,45.033484747418385,0.3716749417221432,37.16749417221432
146,76.1663653943134,16.319313084279884,92.48567847859329,1000016.1530752862,999999.833762202,999923.6673968076,898,133,1887430,False,121.281638,45.1152726056866,0.3719876590526144,37.19876590526144
147,76.21012924596037,16.319313084279884,92.52944233024026,1000016.2034280486,999999.8841149644,999923.6739857184,1085,134,1888328,False,121.267535,45.05740575403962,0.37155373657128943,37.15537365712894
148,76.43818529869033,16.319313084279884,92.7574983829702,1000016.2953494232,999999.9760363388,999923.53785104,5654,135,1889413,False,121.620057,45.181871701309674,0.3715001687699396,37.15001687699396
