Time (sec),request_completion,replica
117.7553657428113,82,1
119.45737837214853,83,1
124.24413163448084,84,1
124.58770021477778,85,1
126.76542061680517,86,1
129.0871338089757,87,1
129.20787371590123,88,1
129.7033748446961,89,1
131.4661659432267,90,1
133.55791093229857,91,1
134.97696424195684,92,1
137.9461692639617,93,1
138.85959220658978,94,1
139.08044129409595,95,1
141.96987890197687,96,1
143.4767269376875,97,1
143.82295641292373,98,1
144.6559588499881,99,1
144.7969936460383,100,1
149.89273734575204,101,1
151.51979389920382,102,1
151.6378829814254,103,1
153.73678966942703,104,1
155.56814197781335,105,1
155.56814197781335,106,1
155.67981365373552,107,1
157.05354306877172,108,1
157.1928199372697,109,1
157.41633286921564,110,1
157.87807056308924,111,1
159.63284660325633,112,1
160.0714248653195,113,1
160.14473693250116,114,1
160.4320434295039,115,1
160.49409182433726,116,1
160.80991503493897,117,1
160.81983894532735,118,1
161.07316979057262,119,1
161.08229390007654,120,1
161.2113006015038,121,1
161.5898771343425,122,1
161.74525207914346,123,1
162.086877771563,124,1
162.14368319212142,125,1
162.22562895580623,126,1
162.27447229585735,127,1
163.23366506259956,128,1
4.205640696101921,1,2
5.522709219115598,2,2
6.196171519932951,3,2
15.083917821252895,4,2
16.463314982705327,5,2
17.692800015353193,6,2
19.6958823753783,7,2
24.817050262660317,8,2
24.891952066363096,9,2
25.617208559308526,10,2
26.053889523824587,11,2
27.241295739704594,12,2
27.30049178366337,13,2
27.36201286672615,14,2
27.5093221681751,15,2
27.54029734727449,16,2
27.701794586515437,17,2
28.56176826040703,18,2
32.54379425193745,19,2
32.57457577215684,20,2
32.57457577215684,21,2
33.55320189441392,22,2
33.83059958995643,23,2
34.21695635504848,24,2
34.21695635504848,25,2
34.4700456378276,26,2
35.45223592547909,27,2
35.53998869605726,28,2
37.181482838501076,29,2
37.308066248183245,30,2
37.89771996354732,31,2
39.199203613064064,32,2
43.2537828300845,33,2
43.33167532579189,34,2
46.02356191689343,35,2
47.13263388692877,36,2
47.41502312368294,37,2
48.48228539694423,38,2
51.594763186124545,39,2
51.86651343360305,40,2
53.37130740372253,41,2
54.05035377206939,42,2
55.117157064722115,43,2
55.1764899990489,44,2
55.831531388824466,45,2
56.12390450513036,46,2
56.15543974054975,47,2
60.00393834641415,48,2
60.73868976193589,49,2
60.73868976193589,50,2
61.531138844120015,51,2
62.250444717417444,52,2
62.77419613263968,53,2
62.87969091563385,54,2
63.32075797373625,55,2
66.44628330025189,56,2
67.80181796647264,57,2
71.32809516571942,58,2
73.02954122117868,59,2
73.02954122117868,60,2
74.25991440179453,61,2
74.55545437292102,62,2
74.92185414789662,63,2
75.23672071374773,64,2
78.08717010433757,65,2
79.88448702108974,66,2
84.66267285460492,67,2
85.68468355355675,68,2
86.40262267671947,69,2
86.49022447658224,70,2
87.03701369700693,71,2
90.01790039667118,72,2
92.3572109836767,73,2
99.21928523832429,74,2
105.12524308103826,75,2
105.22353264777642,76,2
106.87335826668186,77,2
106.93121380657664,78,2
107.11669584590898,79,2
107.71921149897337,80,2
108.65491058591174,81,2
108.65491058591174,82,2
108.95550755476164,83,2
109.14808376574199,84,2
109.51665764238606,85,2
110.18242874924499,86,2
110.24264583793976,87,2
110.99256802758006,88,2
111.27027957433178,89,2
115.99326732626452,90,2
116.80103919135085,91,2
123.5089622756152,92,2
123.5089622756152,93,2
126.886931140199,94,2
127.59069496334597,95,2
129.27098457714953,96,2
129.3785600114077,97,2
130.6383786156942,98,2
133.14813496941096,99,2
134.95265192887913,100,2
138.16004775662444,101,2
140.76880940527943,102,2
140.884454531277,103,2
141.2599495764697,104,2
141.67366400964676,105,2
