cdf,request_execution_plus_preemption_time_normalized,replica
0.92,0.05441702798241758,0
0.93,0.056477046172764396,0
0.9400000000000001,0.06688920437404858,0
0.9500000000000001,0.07368766454491367,0
0.96,0.07630432646902849,0
0.97,0.09347506267782978,0
0.98,0.1069350162822547,0
0.99,0.228534611452067,0
1.0,0.5012017256404818,0
0.0,0.011782639538809566,1
0.01,0.01264455822553742,1
0.02,0.014451314259530054,1
0.03,0.016835373711608453,1
0.04,0.017346753874218045,1
0.05,0.017955120278552526,1
0.06,0.018774989456988685,1
0.07,0.01913579670793606,1
0.08,0.02009694398128221,1
0.09,0.020299419238958432,1
0.1,0.021441806853123996,1
0.11,0.02330030362040654,1
0.12,0.025071749638081866,1
0.13,0.026982318070320734,1
0.14,0.02834339614465616,1
0.15,0.029030978529742596,1
0.16,0.030096373447704397,1
0.17,0.03116824113834198,1
0.18,0.03209583049762275,1
0.19,0.032264776784488955,1
0.2,0.032458665838405266,1
0.21,0.032870352558568496,1
0.22,0.03345261708744291,1
0.23,0.03358909392746588,1
0.24,0.03371930781116098,1
0.25,0.034349886398654716,1
0.26,0.03469406322793571,1
0.27,0.03542023315051745,1
0.28,0.03581449462634467,1
0.29,0.036183122720322286,1
0.3,0.036289442115074774,1
0.31,0.03657787260544128,1
0.32,0.03689941149968058,1
0.33,0.03741837560368657,1
0.34,0.03786262793019959,1
0.35000000000000003,0.03811652585209563,1
0.36,0.03828955985038054,1
0.37,0.03842015527842425,1
0.38,0.03846517953674961,1
0.39,0.038482453596630516,1
0.4,0.03851091406976463,1
0.41000000000000003,0.03885081302963046,1
0.42,0.039214348619536675,1
0.43,0.03943862016889908,1
0.44,0.039573303287008935,1
0.45,0.039960966338138774,1
0.46,0.04033062818267478,1
0.47000000000000003,0.04045467804651426,1
0.48,0.040677524787480046,1
0.49,0.04127245117781876,1
0.5,0.041475991566654394,1
0.51,0.041648267722907736,1
0.52,0.041716697593283156,1
0.53,0.04191443460153808,1
0.54,0.04204113212009323,1
0.55,0.04252073479938554,1
0.56,0.04305743306309072,1
0.5700000000000001,0.04340250604650158,1
0.58,0.043710421878857215,1
0.59,0.044033711960126475,1
0.6,0.04491376269692281,1
0.61,0.045263270123083246,1
0.62,0.045315045195057635,1
0.63,0.04533995802475356,1
0.64,0.04544212010536837,1
0.65,0.04551231482706371,1
0.66,0.04561646610227472,1
0.67,0.04637342436916372,1
0.68,0.04665965522465243,1
0.6900000000000001,0.04693448877003905,1
0.7000000000000001,0.047114237261218064,1
0.71,0.04714658616100524,1
0.72,0.0472349342031629,1
0.73,0.047289898157596835,1
0.74,0.04770704516953488,1
0.75,0.04808346882595686,1
0.76,0.048476185784826376,1
0.77,0.04856870910942611,1
0.78,0.048645010357908684,1
0.79,0.04983192068743396,1
0.8,0.05022330345787952,1
0.81,0.05055618474922936,1
0.8200000000000001,0.05121065181012759,1
0.8300000000000001,0.05141957284997479,1
0.84,0.052028563264226724,1
0.85,0.05445028672923111,1
0.86,0.05604251656113073,1
0.87,0.05654329380550491,1
0.88,0.05658596929877165,1
0.89,0.05667757208842226,1
0.9,0.0583787863614146,1
0.91,0.06098774533704964,1
0.92,0.06277825075551519,1
0.93,0.06714102645898637,1
0.9400000000000001,0.08102675507966729,1
0.9500000000000001,0.10118772018844616,1
0.96,0.10770766064943818,1
0.97,0.32120255652124435,1
0.98,0.4177797398851206,1
0.99,0.6153970903143747,1
1.0,0.6599431077600487,1
0.0,0.011520470531885383,2
0.01,0.012622838878874453,2
0.02,0.013407008573261445,2
0.03,0.015495353219374442,2
0.04,0.019546488709323066,2
0.05,0.022294288855883453,2
0.06,0.027426141526165026,2
0.07,0.03013007755537794,2
0.08,0.03107333873050608,2
0.09,0.03183769429325694,2
0.1,0.03265806581150083,2
0.11,0.03292523345444847,2
0.12,0.03311108217557833,2
0.13,0.03333226795215345,2
0.14,0.03362867867557689,2
0.15,0.03375479533853537,2
0.16,0.034033777330790244,2
0.17,0.03454394551070918,2
0.18,0.035121292906394555,2
0.19,0.035899136013921105,2
0.2,0.036064271927997334,2
0.21,0.03614316397565485,2
0.22,0.03634993628929106,2
0.23,0.03656530473687073,2
0.24,0.03689713356811391,2
0.25,0.037095869500686024,2
0.26,0.03732438386228908,2
0.27,0.037518522843205254,2
0.28,0.03762515379456371,2
0.29,0.03787655187131253,2
0.3,0.038074595398200926,2
0.31,0.03821757102584349,2
0.32,0.03847602439385368,2
0.33,0.038509218890128226,2
0.34,0.038624766602743554,2
0.35000000000000003,0.038961079636424964,2
0.36,0.03925827191528299,2
0.37,0.03966177545995329,2
0.38,0.03973373267969522,2
0.39,0.039865170026316045,2
0.4,0.039975056925789704,2
0.41000000000000003,0.040023954424727955,2
0.42,0.040050776774642874,2
0.43,0.04008214079764478,2
0.44,0.04024249757965186,2
0.45,0.0405688710659829,2
0.46,0.04079631066320262,2
0.47000000000000003,0.04107640395087951,2
0.48,0.04200699558262729,2
0.49,0.04213382301753994,2
0.5,0.04233855746339928,2
0.51,0.042584026145581766,2
0.52,0.042848525193436376,2
0.53,0.04326722183749905,2
0.54,0.04464545701874833,2
0.55,0.04558528890873927,2
0.56,0.04612760295316283,2
0.5700000000000001,0.046214856768555995,2
0.58,0.04652620782113148,2
0.59,0.04667201842556979,2
0.6,0.047042331957222315,2
0.61,0.04756772596054471,2
0.62,0.04788759343852997,2
0.63,0.04811652198940835,2
0.64,0.048357381644731516,2
0.65,0.04865577138548024,2
0.66,0.048741197238781855,2
0.67,0.04880074333789642,2
0.68,0.04911583003359285,2
0.6900000000000001,0.049235294396229166,2
0.7000000000000001,0.0499827072786062,2
0.71,0.05047061574696988,2
0.72,0.05094777199820613,2
0.73,0.051197152264094714,2
0.74,0.05168192913281756,2
0.75,0.0519466731739971,2
0.76,0.05221146971067018,2
0.77,0.05280732879677414,2
0.78,0.053232761003271234,2
0.79,0.05366573208354363,2
0.8,0.053903260046234164,2
0.81,0.05404368719578765,2
0.8200000000000001,0.05468444826057976,2
0.8300000000000001,0.05488161852927765,2
0.84,0.05536223905133375,2
0.85,0.055784748993250984,2
0.86,0.05811526765932655,2
0.87,0.05989874823529592,2
0.88,0.062020035804963076,2
0.89,0.06283174247903275,2
0.9,0.06458715760846336,2
0.91,0.06602112116839987,2
0.92,0.06724728510095962,2
0.93,0.0723013567655827,2
0.9400000000000001,0.08010010588184638,2
0.9500000000000001,0.10354922604102977,2
0.96,0.12012729272793526,2
0.97,0.15327791464005355,2
0.98,0.25407776491888057,2
0.99,0.3794158245260612,2
1.0,0.4804193517038235,2
0.0,0.010157714186560654,3
0.01,0.011273212502937995,3
0.02,0.012924514849394253,3
0.03,0.01451770335194578,3
0.04,0.016827399264651405,3
0.05,0.017336214416412685,3
0.06,0.01825350355785398,3
0.07,0.02049871601754903,3
0.08,0.02185345543304269,3
0.09,0.025863584788278073,3
0.1,0.02600779652053076,3
0.11,0.028415382791699754,3
0.12,0.031117249488788544,3
0.13,0.03251201363129296,3
0.14,0.033362439058743795,3
0.15,0.03349177280434963,3
0.16,0.03363032895986872,3
0.17,0.033718870286038136,3
0.18,0.03381761534859733,3
0.19,0.03429651985641686,3
0.2,0.034585079213821576,3
0.21,0.034745578634178,3
0.22,0.03487743710134079,3
0.23,0.035422361950214976,3
0.24,0.03594340093458831,3
0.25,0.036135349631669006,3
0.26,0.03630843357797849,3
0.27,0.036475861121703125,3
0.28,0.03676016548966163,3
0.29,0.036845014378043696,3
0.3,0.03732603811587397,3
0.31,0.03749696781311646,3
0.32,0.03757833177103865,3
0.33,0.037868687571179276,3
0.34,0.038032860681037055,3
0.35000000000000003,0.03810374620055133,3
0.36,0.0382946580317666,3
0.37,0.038369215277022584,3
0.38,0.038400852544069865,3
0.39,0.038601198685340676,3
0.4,0.03880069236300636,3
0.41000000000000003,0.0388555658951096,3
0.42,0.039052519700936726,3
0.43,0.03905654735303602,3
0.44,0.03918702512444015,3
0.45,0.039242798860580776,3
0.46,0.03927668303941116,3
0.47000000000000003,0.03929441903848742,3
0.48,0.039336808253198394,3
0.49,0.03937890817580577,3
0.5,0.039707014781936695,3
0.51,0.04004229649553679,3
0.52,0.040076733907804675,3
0.53,0.04019308259248763,3
0.54,0.04029597211806076,3
0.55,0.04043913658335636,3
0.56,0.04049658859241725,3
0.5700000000000001,0.04071705079846702,3
0.58,0.040753030605706925,3
0.59,0.040878503822824916,3
0.6,0.04098439794017848,3
0.61,0.04116631467484667,3
0.62,0.041220689692565184,3
0.63,0.041429925883613834,3
0.64,0.04168901521389675,3
0.65,0.04172991106695272,3
0.66,0.04216787060084219,3
0.67,0.04234483722265733,3
0.68,0.042401693519260146,3
0.6900000000000001,0.04294139004993262,3
0.7000000000000001,0.04330139450045918,3
0.71,0.04414666130164364,3
0.72,0.04504122224798115,3
0.73,0.0451445024414989,3
0.74,0.0456227440989712,3
0.75,0.04573152708248281,3
0.76,0.04585082246241638,3
0.77,0.04596781776858536,3
0.78,0.0467113967389954,3
0.79,0.04708485139250408,3
0.8,0.04722332394402459,3
0.81,0.047291357538618066,3
0.8200000000000001,0.047889587470153844,3
0.8300000000000001,0.0481975219827182,3
0.84,0.048968702777594963,3
0.85,0.04923875376234814,3
0.86,0.05005046040372348,3
0.87,0.05151597484645449,3
0.88,0.05157680052012623,3
0.89,0.051711274522852985,3
0.9,0.052779523102733455,3
0.91,0.05392695442503206,3
0.92,0.05634130080404774,3
0.93,0.05739250361529981,3
0.9400000000000001,0.05779666481955198,3
0.9500000000000001,0.05818172862419714,3
0.96,0.05932188358282784,3
0.97,0.09470039220076389,3
0.98,0.1136293284444646,3
0.99,0.14959904914814173,3
1.0,1.4776673669200544,3
