cdf,decode_time_execution_plus_preemption_normalized,replica
0.02,0.012071849834901444,1
0.03,0.012793667949832055,1
0.04,0.016325070834348004,1
0.05,0.016666232096976867,1
0.06,0.016787639604334544,1
0.07,0.01686746481124667,1
0.08,0.017368538176865338,1
0.09,0.017523627326757222,1
0.1,0.018442651035474236,1
0.11,0.01914559470438896,1
0.12,0.01963835273794309,1
0.13,0.02028946366969847,1
0.14,0.021370160890827144,1
0.15,0.02172145591793614,1
0.16,0.02234335759838059,1
0.17,0.023380859403672447,1
0.18,0.023724987623704973,1
0.19,0.025061436816315286,1
0.2,0.026898995478885152,1
0.21,0.02725993498416338,1
0.22,0.027514319927293557,1
0.23,0.027634224329117937,1
0.24,0.028447913593443112,1
0.25,0.02929132477301284,1
0.26,0.029419251418234045,1
0.27,0.029765619393949904,1
0.28,0.030182709622084965,1
0.29,0.03070447300694809,1
0.3,0.03091343842393791,1
0.31,0.03099295183159495,1
0.32,0.03115408239894151,1
0.33,0.03129378968735202,1
0.34,0.031479168966859566,1
0.35000000000000003,0.031777450451616875,1
0.36,0.03185978057514508,1
0.37,0.0321149156861904,1
0.38,0.0322974584506374,1
0.39,0.03268796914418409,1
0.4,0.032936556027688586,1
0.41000000000000003,0.03312951025140184,1
0.42,0.033330966419404515,1
0.43,0.03355211646508488,1
0.44,0.033684824649541346,1
0.45,0.03415953019866317,1
0.46,0.034389550271972595,1
0.47000000000000003,0.03465224981938243,1
0.48,0.034717240009448806,1
0.49,0.03499895977163083,1
0.5,0.03558661147997195,1
0.51,0.03666095687413732,1
0.52,0.03726148901592203,1
0.53,0.03748767896618718,1
0.54,0.03765960734279271,1
0.55,0.03804730864398287,1
0.56,0.038142325892260555,1
0.5700000000000001,0.038185470105031705,1
0.58,0.0382932264323232,1
0.59,0.0384705748969322,1
0.6,0.038769213603644534,1
0.61,0.039208612601405284,1
0.62,0.03923846032070501,1
0.63,0.03928496634440825,1
0.64,0.039354203844625055,1
0.65,0.039436478012547974,1
0.66,0.039657809677196655,1
0.67,0.04000112118381656,1
0.68,0.04035532297407889,1
0.6900000000000001,0.040449065983815716,1
0.7000000000000001,0.040703126129927554,1
0.71,0.04090814354656586,1
0.72,0.04102659516119647,1
0.73,0.04111688213330842,1
0.74,0.04123734764122319,1
0.75,0.04138896804804411,1
0.76,0.04214085282365756,1
0.77,0.04268405489148385,1
0.78,0.04292099152415236,1
0.79,0.043305867655985424,1
0.8,0.04340289957107587,1
0.81,0.0436790230489239,1
0.8200000000000001,0.04389555637562122,1
0.8300000000000001,0.04409594170488313,1
0.84,0.04439289571395403,1
0.85,0.045163176991104684,1
0.86,0.045442518656232264,1
0.87,0.04595508953445939,1
0.88,0.0462497980610482,1
0.89,0.04638036408008693,1
0.9,0.04665544883532156,1
0.91,0.04699935398922903,1
0.92,0.0473028538865403,1
0.93,0.047448789791058606,1
0.9400000000000001,0.04784955836068052,1
0.9500000000000001,0.04799580841043871,1
0.96,0.04826520659966342,1
0.97,0.050465826786602976,1
0.98,0.051044169176479595,1
0.99,0.05166167123208604,1
1.0,0.05569245739730001,1
0.0,0.008596259960830403,2
0.01,0.010489287169203698,2
0.02,0.012435901873107667,2
0.03,0.014632424243338724,2
0.04,0.015704592520786154,2
0.05,0.0176358824545242,2
0.06,0.017877132738047693,2
0.07,0.018935093224807194,2
0.08,0.01993902126322051,2
0.09,0.02276151688271903,2
0.1,0.025473422307033523,2
0.11,0.026341437729534577,2
0.12,0.026854221976592155,2
0.13,0.026977601042971526,2
0.14,0.027128450424469545,2
0.15,0.027232677712131313,2
0.16,0.027695872425255716,2
0.17,0.028428794526254925,2
0.18,0.029016341530346414,2
0.19,0.029256563767410145,2
0.2,0.029675041711213938,2
0.21,0.03008079167545001,2
0.22,0.030575755208636018,2
0.23,0.03094164763347061,2
0.24,0.031184795955780262,2
0.25,0.03132989680981493,2
0.26,0.031348427792138235,2
0.27,0.031650546948470124,2
0.28,0.032207090479476334,2
0.29,0.03242460307687098,2
0.3,0.03247158254695449,2
0.31,0.032671238042642596,2
0.32,0.03273439382325355,2
0.33,0.03305617736399934,2
0.34,0.0332294209729376,2
0.35000000000000003,0.03336451531100364,2
0.36,0.033445584357091,2
0.37,0.03358597939235767,2
0.38,0.034070442274660516,2
0.39,0.03457926689617434,2
0.4,0.03498326067779544,2
0.41000000000000003,0.0350964930230552,2
0.42,0.03536426579654256,2
0.43,0.03567760128388425,2
0.44,0.03591243239189338,2
0.45,0.03608061104969502,2
0.46,0.03636970190122877,2
0.47000000000000003,0.03643950203975427,2
0.48,0.03665900621295007,2
0.49,0.036794120231860794,2
0.5,0.03705223717422119,2
0.51,0.037154131940372474,2
0.52,0.03720355465603871,2
0.53,0.037317635924516444,2
0.54,0.03736038673945758,2
0.55,0.03739228943779721,2
0.56,0.03770883071925389,2
0.5700000000000001,0.03794841594223714,2
0.58,0.03799878959008047,2
0.59,0.038111474858899506,2
0.6,0.03823949983283886,2
0.61,0.03835210534439791,2
0.62,0.03856365638816038,2
0.63,0.03914764585462129,2
0.64,0.039664128154958345,2
0.65,0.04001226128732926,2
0.66,0.040266274990712315,2
0.67,0.040487056937525946,2
0.68,0.04068260926459187,2
0.6900000000000001,0.04121432232326629,2
0.7000000000000001,0.04194809913937059,2
0.71,0.04335060477215182,2
0.72,0.04451335236717976,2
0.73,0.04471587055041323,2
0.74,0.04476703357576864,2
0.75,0.045323197056931726,2
0.76,0.045408190287107186,2
0.77,0.045633200955955966,2
0.78,0.04594162406096198,2
0.79,0.04614160992818726,2
0.8,0.04637194411149201,2
0.81,0.046614761205102745,2
0.8200000000000001,0.046687379946664026,2
0.8300000000000001,0.04690601950516941,2
0.84,0.04720079359301389,2
0.85,0.047352588877541096,2
0.86,0.04792027282599158,2
0.87,0.04848578509674343,2
0.88,0.0489644504656877,2
0.89,0.049813231253419035,2
0.9,0.05007741117893917,2
0.91,0.05075965218056856,2
0.92,0.051133040213820646,2
0.93,0.05147040144008967,2
0.9400000000000001,0.05181069918823493,2
0.9500000000000001,0.05279582575311141,2
0.96,0.05339824353120091,2
0.97,0.05451872160831283,2
0.98,0.058081737951317707,2
0.99,0.05973715764868429,2
1.0,0.06246382752560607,2
0.0,0.009606319835050134,3
0.01,0.00993847659046174,3
0.02,0.010581485822492954,3
0.03,0.012182092350053714,3
0.04,0.013318715321602281,3
0.05,0.01405427394368022,3
0.06,0.015492725877044285,3
0.07,0.017678398292847494,3
0.08,0.018309621763875357,3
0.09,0.021089885885558376,3
0.1,0.0218374570004189,3
0.11,0.02187260309108783,3
0.12,0.02326631018445163,3
0.13,0.02404171580376084,3
0.14,0.025353654940489165,3
0.15,0.02649699231872772,3
0.16,0.02721603311225108,3
0.17,0.02876348600806333,3
0.18,0.029545827457065372,3
0.19,0.029706366053214254,3
0.2,0.029992481367386185,3
0.21,0.030279399107873743,3
0.22,0.030346319602191363,3
0.23,0.030476174245518885,3
0.24,0.030857871086010246,3
0.25,0.03115097945120629,3
0.26,0.03153498579254876,3
0.27,0.03197610442598505,3
0.28,0.03222196871518728,3
0.29,0.032245735783120046,3
0.3,0.03250872657596736,3
0.31,0.032735924386066165,3
0.32,0.03286674208925003,3
0.33,0.03300215298242934,3
0.34,0.03319748105713984,3
0.35000000000000003,0.03324825630988998,3
0.36,0.03330673746561812,3
0.37,0.03346081858116705,3
0.38,0.033950516030634134,3
0.39,0.03454592111270169,3
0.4,0.03487595837724026,3
0.41000000000000003,0.03492731879797216,3
0.42,0.0353846550566246,3
0.43,0.0360089118249172,3
0.44,0.03608341363249221,3
0.45,0.036421230198740155,3
0.46,0.03649310740260709,3
0.47000000000000003,0.03658168528944456,3
0.48,0.036621480723349184,3
0.49,0.03680119082154991,3
0.5,0.03681540078664925,3
0.51,0.03686554786092921,3
0.52,0.03693282100117088,3
0.53,0.03713784367742114,3
0.54,0.03742986740957684,3
0.55,0.03755761571987554,3
0.56,0.03761660134528444,3
0.5700000000000001,0.03762400641583086,3
0.58,0.03765430828866179,3
0.59,0.03770895810248998,3
0.6,0.037868646255691286,3
0.61,0.03790026342706001,3
0.62,0.037953400072829775,3
0.63,0.03805474558060112,3
0.64,0.03814097290056727,3
0.65,0.03819269669870137,3
0.66,0.03822755536445224,3
0.67,0.03826485632328845,3
0.68,0.038530653165902436,3
0.6900000000000001,0.03859969101194646,3
0.7000000000000001,0.038671648660154274,3
0.71,0.03879900018910101,3
0.72,0.039254394747333825,3
0.73,0.03972731619529124,3
0.74,0.03978638271207802,3
0.75,0.03989969687007246,3
0.76,0.03995280865244984,3
0.77,0.040038924141543995,3
0.78,0.040300617175910346,3
0.79,0.04074026287589711,3
0.8,0.04081591014082514,3
0.81,0.04091085777234917,3
0.8200000000000001,0.04095006641234437,3
0.8300000000000001,0.04106988515007171,3
0.84,0.04146434422586135,3
0.85,0.042044576298741254,3
0.86,0.04216750377055964,3
0.87,0.04232670819445893,3
0.88,0.042714786037769924,3
0.89,0.043205288500500275,3
0.9,0.043766172406259386,3
0.91,0.04425142697341063,3
0.92,0.04454729716123826,3
0.93,0.045214936086224115,3
0.9400000000000001,0.04625013267082326,3
0.9500000000000001,0.04746084619455832,3
0.96,0.048827978897022346,3
0.97,0.04921727334930895,3
0.98,0.04978687496207849,3
0.99,0.05118076565368161,3
1.0,0.053193419978782464,3
