cdf,request_execution_time_normalized,replica
0.18,0.02154699592051647,1
0.19,0.023068463033100815,1
0.2,0.02458993014568515,1
0.21,0.025879876696389564,1
0.22,0.02716982324709398,1
0.23,0.028459769797798396,1
0.24,0.029749716348502805,1
0.25,0.031039662899207225,1
0.26,0.032329609449911645,1
0.27,0.0332831779120793,1
0.28,0.033563990197173446,1
0.29,0.03384480248226759,1
0.3,0.034125614767361735,1
0.31,0.03440642705245588,1
0.32,0.034687239337550024,1
0.33,0.03496805162264417,1
0.34,0.0353186972106417,1
0.35000000000000003,0.03570425945009092,1
0.36,0.036089821689540134,1
0.37,0.03647538392898936,1
0.38,0.036860946168438574,1
0.39,0.0372465084078878,1
0.4,0.037632070647337014,1
0.41000000000000003,0.03777705996252934,1
0.42,0.03792204927772168,1
0.43,0.03806703859291401,1
0.44,0.038212027908106336,1
0.45,0.038357017223298664,1
0.46,0.038502006538491,1
0.47000000000000003,0.03864100982432836,1
0.48,0.03876804105145579,1
0.49,0.03889507227858321,1
0.5,0.039022103505710636,1
0.51,0.03914913473283806,1
0.52,0.039276165959965484,1
0.53,0.03940319718709291,1
0.54,0.03945398003185418,1
0.55,0.03946663868543236,1
0.56,0.03947929733901055,1
0.5700000000000001,0.039491955992588736,1
0.58,0.039504614646166926,1
0.59,0.03951727329974511,1
0.6,0.0395299319533233,1
0.61,0.03985031572052624,1
0.62,0.04017069948772918,1
0.63,0.040491083254932114,1
0.64,0.040811467022135055,1
0.65,0.041131850789337995,1
0.66,0.041452234556540936,1
0.67,0.04172242208767246,1
0.68,0.04189221714666116,1
0.6900000000000001,0.042062012205649854,1
0.7000000000000001,0.04223180726463856,1
0.71,0.042401602323627254,1
0.72,0.04257139738261595,1
0.73,0.042741192441604646,1
0.74,0.04319939720524879,1
0.75,0.04380180682122066,1
0.76,0.04440421643719253,1
0.77,0.0450066260531644,1
0.78,0.045609035669136266,1
0.79,0.046211445285108135,1
0.8,0.04681385490108,1
0.81,0.04892431648371398,1
0.8200000000000001,0.05103477806634794,1
0.8300000000000001,0.05314523964898192,1
0.84,0.0552557012316159,1
0.85,0.05736616281424988,1
0.86,0.059476624396883865,1
0.87,0.08451618792669224,1
0.88,0.15541395535084773,1
0.89,0.2263117227750041,1
0.9,0.29720949019916043,1
0.91,0.3681072576233168,1
0.92,0.4390050250474732,1
0.93,0.5099027924716295,1
0.9400000000000001,0.5451591517774308,1
0.9500000000000001,0.5625948070240554,1
0.96,0.5800304622706799,1
0.97,0.5974661175173045,1
0.98,0.6149017727639292,1
0.99,0.6323374280105538,1
1.0,0.6497730832571785,1
0.0,0.009937471691639945,2
0.01,0.010061459830635704,2
0.02,0.010185447969631464,2
0.03,0.010309436108627223,2
0.04,0.010433424247622983,2
0.05,0.010557412386618743,2
0.06,0.010681400525614504,2
0.07,0.010801646133863835,2
0.08,0.010914406680620308,2
0.09,0.011027167227376782,2
0.1,0.011139927774133255,2
0.11,0.011252688320889727,2
0.12,0.0113654488676462,2
0.13,0.011478209414402673,2
0.14,0.01164297980924272,2
0.15,0.01183375512812455,2
0.16,0.012024530447006384,2
0.17,0.012215305765888215,2
0.18,0.012406081084770046,2
0.19,0.01259685640365188,2
0.2,0.01278763172253371,2
0.21,0.012942543718640008,2
0.22,0.013097455714746306,2
0.23,0.013252367710852603,2
0.24,0.013407279706958902,2
0.25,0.0135621917030652,2
0.26,0.013717103699171498,2
0.27,0.014089371370505942,2
0.28,0.014896350392296665,2
0.29,0.015703329414087388,2
0.3,0.016510308435878116,2
0.31,0.017317287457668844,2
0.32,0.01812426647945957,2
0.33,0.018931245501250298,2
0.34,0.01932639065548554,2
0.35000000000000003,0.01951561887594304,2
0.36,0.019704847096400534,2
0.37,0.019894075316858037,2
0.38,0.020083303537315536,2
0.39,0.020272531757773035,2
0.4,0.020461759978230534,2
0.41000000000000003,0.02052799720305223,2
0.42,0.020594234427873927,2
0.43,0.020660471652695623,2
0.44,0.020726708877517323,2
0.45,0.02079294610233902,2
0.46,0.020859183327160715,2
0.47000000000000003,0.020994593597995045,2
0.48,0.02126834996085464,2
0.49,0.021542106323714238,2
0.5,0.021815862686573838,2
0.51,0.022089619049433434,2
0.52,0.02236337541229303,2
0.53,0.022637131775152627,2
0.54,0.0227847984745447,2
0.55,0.022869420342203014,2
0.56,0.022954042209861324,2
0.5700000000000001,0.023038664077519637,2
0.58,0.02312328594517795,2
0.59,0.02320790781283626,2
0.6,0.023292529680494573,2
