cdf,request_scheduling_delay,replica
0.15,0.00224496781632455,5
0.16,0.002317999489448752,5
0.17,0.0023910311625729543,5
0.18,0.002464062835697156,5
0.19,0.002537094508821358,5
0.2,0.00261012618194556,5
0.21,0.002766494234093475,5
0.22,0.00292286228624139,5
0.23,0.003079230338389305,5
0.24,0.0032355983905372194,5
0.25,0.003391966442685135,5
0.26,0.00354833449483305,5
0.27,0.0036965197004219523,5
0.28,0.0038283392128928284,5
0.29,0.003960158725363705,5
0.3,0.0040919782378345815,5
0.31,0.004223797750305458,5
0.32,0.0043556172627763345,5
0.33,0.004487436775247211,5
0.34,0.06241574546775949,5
0.35000000000000003,0.1492422987502917,5
0.36,0.23606885203282393,5
0.37,0.32289540531535665,5
0.38,0.4097219585978894,5
0.39,0.49654851188042215,5
0.4,0.5833750651629543,5
0.41000000000000003,0.6351843313283264,5
0.42,0.6869935974936987,5
0.43,0.7388028636590711,5
0.44,0.7906121298244431,5
0.45,0.8424213959898155,5
0.46,0.8942306621551879,5
0.47000000000000003,0.9302310568071586,5
0.48,0.9346137084323267,5
0.49,0.9389963600574949,5
0.5,0.943379011682663,5
0.51,0.9477616633078312,5
0.52,0.9521443149329993,5
0.53,0.9565269665581675,5
0.54,0.9683032068814699,5
0.55,0.9837762415538389,5
0.56,0.9992492762262082,5
0.5700000000000001,1.0147223108985775,5
0.58,1.0301953455709465,5
0.59,1.0456683802433158,5
0.6,1.061141414915685,5
0.61,1.0895650107476307,5
0.62,1.117988606579576,5
0.63,1.1464122024115213,5
0.64,1.1748357982434667,5
0.65,1.2032593940754124,5
0.66,1.231682989907358,5
0.67,1.2516226468209237,5
0.68,1.2545944258977304,5
0.6900000000000001,1.257566204974537,5
0.7000000000000001,1.2605379840513438,5
0.71,1.2635097631281504,5
0.72,1.2664815422049571,5
0.73,1.2694533212817638,5
0.74,1.278522526150715,5
0.75,1.2906404439157382,5
0.76,1.3027583616807614,5
0.77,1.314876279445785,5
0.78,1.3269941972108081,5
0.79,1.3391121149758314,5
0.8,1.3512300327408546,5
0.81,1.373726874776043,5
0.8200000000000001,1.396223716811231,5
0.8300000000000001,1.4187205588464193,5
0.84,1.4412174008816077,5
0.85,1.463714242916796,5
0.86,1.4862110849519843,5
0.87,1.503505349281589,5
0.88,1.510394458200027,5
0.89,1.517283567118465,5
0.9,1.524172676036903,5
0.91,1.531061784955341,5
0.92,1.537950893873779,5
0.93,1.544840002792217,5
0.9400000000000001,1.6153150482424363,5
0.9500000000000001,1.717583061958547,5
0.96,1.8198510756746566,5
0.97,1.9221190893907674,5
0.98,2.024387103106878,5
0.99,2.1266551168229886,5
1.0,2.2289231305390995,5
0.0,0.0,6
0.01,4.9387655066635e-05,6
0.02,9.877531013327e-05,6
0.03,0.000148162965199905,6
0.04,0.00019755062026654,6
0.05,0.00024693827533317503,6
0.06,0.00029632593039981,6
0.07,0.0004015789911234525,6
0.08,0.0006185628631611094,6
0.09,0.0008355467351987665,6
0.1,0.0010525306072364238,6
0.11,0.0012695144792740807,6
0.12,0.0014864983513117377,6
0.13,0.0017034822233493955,6
0.14,0.002058166039196241,6
0.15,0.002481699826947681,6
0.16,0.0029052336146991207,6
0.17,0.0033287674024505614,6
0.18,0.0037523011902020004,6
0.19,0.004175834977953441,6
0.2,0.004599368765704881,6
0.21,0.005074725008633818,6
0.22,0.005550081251562754,6
0.23,0.006025437494491693,6
0.24,0.006500793737420628,6
0.25,0.006976149980349566,6
0.26,0.007451506223278504,6
0.27,0.0077931218763510396,6
0.28,0.007867256349710772,6
0.29,0.007941390823070504,6
0.3,0.008015525296430237,6
0.31,0.00808965976978997,6
0.32,0.008163794243149702,6
0.33,0.008237928716509435,6
0.34,0.01699363675132024,6
0.35000000000000003,0.03009013156685647,6
0.36,0.0431866263823927,6
0.37,0.056283121197929005,6
0.38,0.06937961601346532,6
0.39,0.08247611082900161,6
0.4,0.09557260564453784,6
0.41000000000000003,0.11119514890414711,6
0.42,0.12681769216375646,6
0.43,0.14244023542336584,6
0.44,0.1580627786829751,6
0.45,0.17368532194258446,6
0.46,0.1893078652021938,6
0.47000000000000003,0.20552969079275238,6
0.48,0.22295008104520955,6
0.49,0.2403704712976668,6
0.5,0.2577908615501241,6
0.51,0.2752112518025814,6
0.52,0.29263164205503867,6
0.53,0.3100520323074958,6
0.54,0.31727886858240306,6
0.55,0.31940892786853525,6
0.56,0.3215389871546675,6
0.5700000000000001,0.32366904644079975,6
0.58,0.32579910572693194,6
0.59,0.3279291650130642,6
0.6,0.33005922429919643,6
0.61,0.35319863067193713,6
0.62,0.37633803704467783,6
0.63,0.3994774434174182,6
0.64,0.4226168497901589,6
0.65,0.4457562561628996,6
0.66,0.4688956625356403,6
0.67,0.4924201272434583,6
0.68,0.5167147086214309,6
0.6900000000000001,0.5410092899994031,6
0.7000000000000001,0.5653038713773757,6
0.71,0.589598452755348,6
0.72,0.6138930341333205,6
0.73,0.6381876155112931,6
0.74,0.7416006586428668,6
0.75,0.8845729326512419,6
0.76,1.027545206659617,6
0.77,1.170517480667992,6
0.78,1.313489754676367,6
0.79,1.456462028684742,6
0.8,1.5994343026931155,6
0.81,1.6012645057497745,6
0.8200000000000001,1.6030947088064333,6
0.8300000000000001,1.6049249118630924,6
0.84,1.6067551149197512,6
0.85,1.6085853179764102,6
0.86,1.6104155210330693,6
0.87,1.6117305839122509,6
0.88,1.6120153664364782,6
0.89,1.6123001489607054,6
0.9,1.6125849314849328,6
0.91,1.6128697140091601,6
0.92,1.6131544965333873,6
0.93,1.6134392790576146,6
0.9400000000000001,1.6399258947971522,6
0.9500000000000001,1.6795134271443453,6
0.96,1.7191009594915378,6
0.97,1.7586884918387309,6
0.98,1.798276024185924,6
0.99,1.837863556533117,6
1.0,1.87745108888031,6
0.0,0.0,7
0.01,0.0004814593241009746,7
0.02,0.0009629186482019491,7
0.03,0.0014443779723029237,7
0.04,0.0019258372964038983,7
0.05,0.002407296620504873,7
