cdf,prefill_e2e_time_normalized,replica
0.99,0.0003597643481798874,0
1.0,0.00036735951199029824,0
0.0,4.791106587723708e-05,1
0.01,4.959588754687066e-05,1
0.02,5.128070921650425e-05,1
0.03,5.296553088613783e-05,1
0.04,5.4650352555771415e-05,1
0.05,5.6335174225405e-05,1
0.06,5.801999589503858e-05,1
0.07,5.9253748754466655e-05,1
0.08,5.958536399348368e-05,1
0.09,5.991697923250071e-05,1
0.1,6.024859447151774e-05,1
0.11,6.0580209710534765e-05,1
0.12,6.091182494955179e-05,1
0.13,6.124344018856882e-05,1
0.14,6.332524908782083e-05,1
0.15,6.628215481719033e-05,1
0.16,6.923906054655982e-05,1
0.17,7.219596627592933e-05,1
0.18,7.515287200529882e-05,1
0.19,7.810977773466833e-05,1
0.2,8.106668346403782e-05,1
0.21,9.204689122038004e-05,1
0.22,0.00010302709897672226,1
0.23,0.00011400730673306452,1
0.24,0.0001249875144894067,1
0.25,0.00013596772224574896,1
0.26,0.0001469479300020912,1
0.27,0.00015493812665594994,1
0.28,0.0001569483011048417,1
0.29,0.00015895847555373347,1
0.3,0.00016096865000262523,1
0.31,0.000162978824451517,1
0.32,0.00016498899890040876,1
0.33,0.00016699917334930052,1
0.34,0.00016817742241726427,1
0.35000000000000003,0.000168939708794764,1
0.36,0.00016970199517226368,1
0.37,0.0001704642815497634,1
0.38,0.00017122656792726312,1
0.39,0.00017198885430476282,1
0.4,0.00017275114068226254,1
0.41000000000000003,0.00018299117254770952,1
0.42,0.00019323120441315657,1
0.43,0.0002034712362786036,1
0.44,0.00021371126814405058,1
0.45,0.00022395130000949762,1
0.46,0.00023419133187494468,1
0.47000000000000003,0.0002441140917805414,1
0.48,0.00025340230776643756,1
0.49,0.0002626905237523338,1
0.5,0.00027197873973823007,1
0.51,0.0002812669557241263,1
0.52,0.0002905551717100225,1
0.53,0.0002998433876959187,1
0.54,0.00030859914011710087,1
0.55,0.00031708866075592576,1
0.56,0.00032557818139475076,1
0.5700000000000001,0.00033406770203357576,1
0.58,0.0003425572226724007,1
0.59,0.0003510467433112257,1
0.6,0.0003595362639500507,1
0.61,0.0003678454900594272,1
0.62,0.00037615471616880364,1
0.63,0.00038446394227818005,1
0.64,0.0003927731683875565,1
0.65,0.000401082394496933,1
0.66,0.00040939162060630945,1
0.67,0.0004274212713472152,1
0.68,0.0004648917713511791,1
0.6900000000000001,0.0005023622713551426,1
0.7000000000000001,0.0005398327713591064,1
0.71,0.00057730327136307,1
0.72,0.0006147737713670338,1
0.73,0.0006522442713709978,1
0.74,0.0006780367865883038,1
0.75,0.000697990309412281,1
0.76,0.0007179438322362581,1
0.77,0.0007378973550602352,1
0.78,0.0007578508778842123,1
0.79,0.0007778044007081894,1
0.8,0.0007977579235321663,1
0.81,0.0009647848813787844,1
0.8200000000000001,0.0011318118392254005,1
0.8300000000000001,0.0012988387970720187,1
0.84,0.0014658657549186365,1
0.85,0.0016328927127652547,1
0.86,0.0017999196706118728,1
0.87,0.0019519703599643519,1
0.88,0.0020740685123285525,1
0.89,0.0021961666646927542,1
0.9,0.0023182648170569564,1
0.91,0.002440362969421158,1
0.92,0.00256246112178536,1
0.93,0.002684559274149562,1
0.9400000000000001,0.0036262404667394927,1
0.9500000000000001,0.004977713179442298,1
0.96,0.006329185892145086,1
0.97,0.007680658604847891,1
0.98,0.009032131317550696,1
0.99,0.010383604030253502,1
1.0,0.011735076742956306,1
0.0,4.091590701641655e-05,2
0.01,4.201052049240891e-05,2
0.02,4.310513396840128e-05,2
0.03,4.4199747444393645e-05,2
0.04,4.529436092038601e-05,2
0.05,4.638897439637838e-05,2
0.06,4.7483587872370744e-05,2
0.07,4.851445779244493e-05,2
0.08,4.941784060068278e-05,2
0.09,5.0321223408920624e-05,2
0.1,5.1224606217158465e-05,2
0.11,5.212798902539631e-05,2
0.12,5.303137183363415e-05,2
0.13,5.3934754641872e-05,2
0.14,5.482750595326934e-05,2
0.15,5.571494151624643e-05,2
0.16,5.660237707922352e-05,2
0.17,5.748981264220062e-05,2
0.18,5.837724820517771e-05,2
0.19,5.926468376815481e-05,2
0.2,6.01521193311319e-05,2
0.21,6.107895721323938e-05,2
0.22,6.200579509534686e-05,2
0.23,6.293263297745435e-05,2
0.24,6.385947085956182e-05,2
0.25,6.47863087416693e-05,2
0.26,6.571314662377679e-05,2
0.27,6.798134776632183e-05,2
0.28,7.293227542974188e-05,2
0.29,7.788320309316194e-05,2
0.3,8.283413075658203e-05,2
0.31,8.778505842000213e-05,2
0.32,9.273598608342219e-05,2
0.33,9.768691374684227e-05,2
