cdf,request_e2e_time_normalized,replica
0.48,0.02351768003158382,2
0.49,0.023768048236451234,2
0.5,0.024018416441318646,2
0.51,0.024268784646186058,2
0.52,0.02451915285105347,2
0.53,0.024769521055920878,2
0.54,0.024973508299342306,2
0.55,0.02515430506204074,2
0.56,0.025335101824739175,2
0.5700000000000001,0.025515898587437608,2
0.58,0.02569669535013604,2
0.59,0.025877492112834473,2
0.6,0.02605828887553291,2
0.61,0.026290845029791215,2
0.62,0.026523401184049524,2
0.63,0.026755957338307827,2
0.64,0.026988513492566132,2
0.65,0.027221069646824442,2
0.66,0.027453625801082748,2
0.67,0.02770509324063034,2
0.68,0.0279943832507565,2
0.6900000000000001,0.02828367326088266,2
0.7000000000000001,0.028572963271008823,2
0.71,0.02886225328113498,2
0.72,0.029151543291261146,2
0.73,0.029440833301387307,2
0.74,0.029560402932890723,2
0.75,0.029595112375082767,2
0.76,0.02962982181727481,2
0.77,0.02966453125946685,2
0.78,0.029699240701658896,2
0.79,0.029733950143850937,2
0.8,0.02976865958604298,2
0.81,0.03019818295934154,2
0.8200000000000001,0.030627706332640094,2
0.8300000000000001,0.031057229705938653,2
0.84,0.03148675307923721,2
0.85,0.03191627645253577,2
0.86,0.03234579982583433,2
0.87,0.0332521411550026,2
0.88,0.03511211839591025,2
0.89,0.036972095636817914,2
0.9,0.03883207287772558,2
0.91,0.04069205011863324,2
0.92,0.04255202735954091,2
0.93,0.04441200460044858,2
0.9400000000000001,0.04506918610013554,2
0.9500000000000001,0.045124969729212185,2
0.96,0.045180753358288826,2
0.97,0.04523653698736546,2
0.98,0.0452923206164421,2
0.99,0.04534810424551874,2
1.0,0.04540388787459538,2
0.0,0.033028545900087705,3
0.01,0.03375674959098321,3
0.02,0.03448495328187871,3
0.03,0.03521315697277421,3
0.04,0.035941360663669715,3
0.05,0.03666956435456521,3
0.06,0.037397768045460716,3
0.07,0.03792454099007281,3
0.08,0.03804845244211808,3
0.09,0.038172363894163355,3
0.1,0.03829627534620863,3
0.11,0.0384201867982539,3
0.12,0.038544098250299176,3
0.13,0.03866800970234445,3
0.14,0.03957096115691057,3
0.15,0.04086343261273711,3
0.16,0.04215590406856365,3
0.17,0.043448375524390195,3
0.18,0.04474084698021673,3
0.19,0.046033318436043275,3
0.2,0.047325789891869814,3
0.21,0.04756666852078795,3
0.22,0.04780754714970608,3
0.23,0.04804842577862421,3
0.24,0.048289304407542345,3
0.25,0.04853018303646048,3
0.26,0.04877106166537861,3
0.27,0.04914794101394308,3
0.28,0.04979682180180023,3
0.29,0.050445702589657374,3
0.3,0.05109458337751452,3
0.31,0.05174346416537167,3
0.32,0.052392344953228816,3
