Time (sec),request_arrival
44.40286383163246,384
44.46188647612075,385
44.83688647612075,386
44.99501126891385,387
45.37001126891385,388
45.38577451576297,389
45.62336003956279,390
45.75005453988775,391
45.76630697547473,392
45.87722676788769,393
46.02206042231471,394
46.02360779611573,395
46.09932264868611,396
46.31747950318832,397
46.361237860899806,398
46.43792548717505,399
46.51092041553158,400
46.55584943527014,401
46.86915438205711,402
47.05915776691195,403
47.073807163268626,404
47.448807163268626,405
47.713009562606686,406
47.7547529676216,407
47.981424317467265,408
47.99548917858933,409
48.37048917858933,410
48.50744803200557,411
48.63872045395758,412
48.650569842977205,413
48.93473866853581,414
48.938417205918064,415
48.972858079636445,416
48.99215094038546,417
49.179593868372706,418
49.20720653724038,419
49.50908932283919,420
49.64257632517291,421
49.64718042335265,422
49.64786100201003,423
49.654491001358224,424
49.77089281176652,425
49.97300213052938,426
50.00706893965135,427
50.24371727506247,428
50.25108414837089,429
50.45286775221597,430
50.78139924485017,431
50.966259894569035,432
51.1159759306386,433
51.34348053615593,434
51.348602987485414,435
51.376774696809214,436
51.393455218406416,437
51.48123652721185,438
51.65214024774354,439
51.77642578352165,440
52.01451193658646,441
52.03559577976876,442
52.20142035883028,443
52.22823073704904,444
52.2676995708918,445
52.42239279338232,446
52.79739279338232,447
52.91558958805373,448
52.92259480355767,449
53.04233451098922,450
53.047743697015,451
53.317171448258,452
53.47172410113335,453
53.49548724944639,454
53.507512710104905,455
53.53285884312117,456
53.90785884312117,457
53.984549369193516,458
54.17615583199079,459
54.30262131449488,460
54.408821046150834,461
54.4284218169369,462
54.793324839268266,463
54.83814919329263,464
54.94599803848398,465
55.096401317447835,466
55.227355509471934,467
55.58027637749341,468
55.600361893908776,469
55.689111114869135,470
55.75380765438999,471
55.834154516413605,472
55.850022590390644,473
55.86802004359859,474
55.90874939104983,475
55.95417670269449,476
56.02398258957766,477
56.14200057996726,478
56.26785587054656,479
56.33419421783916,480
56.39989076031138,481
56.43056896298994,482
56.54150340391669,483
56.589168443997316,484
56.593759200878615,485
56.66150575446435,486
56.741844045973416,487
56.77380123767531,488
56.88001406184943,489
56.98428722533771,490
57.13562086429594,491
57.26611808388473,492
57.398217832562935,493
57.445731644793405,494
57.63929344305752,495
57.73886945952687,496
57.809445719557104,497
57.93238732626018,498
57.988301665700206,499
58.078171149096846,500
58.24498150125675,501
58.516868649296526,502
58.834247612438574,503
58.92180255691092,504
59.0136203687992,505
59.21471914080917,506
59.261910997336095,507
59.48895519922217,508
59.574142522061216,509
59.589534541177926,510
59.59888295171507,511
59.82952261156177,512
