Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
38,45.294805,0.188728,15.463454,0.064431,15.463454,0.064431,0.000000,29.831351,15.463454,0.064431,29.987037,0.018488,0.155686,0.000096,0.063782,0.080713,1862,1622,512,240,6.758333,0,4.999757,0
39,65.678916,0.118340,35.776917,0.064463,35.776917,0.064463,0.000000,29.902000,35.776917,0.064463,30.114180,0.007274,0.212180,0.000051,0.064081,0.032170,4695,4140,512,555,7.459459,0,5.031927,0
40,63.856146,0.121863,33.935191,0.064762,33.935191,0.064762,0.000000,29.920955,33.935191,0.064762,30.077935,0.011795,0.156981,0.000062,0.064462,0.138512,3074,2550,512,524,4.866412,0,5.170439,0
41,67.621925,0.115199,37.668161,0.064171,37.668161,0.064171,0.000000,29.953764,37.668161,0.064171,30.107383,0.012472,0.153619,0.000064,0.063909,0.071843,3001,2414,512,587,4.112436,0,5.242282,0
42,45.233748,0.199268,15.401771,0.067849,15.401771,0.067849,0.000000,29.831977,15.401771,0.067849,30.719578,0.002111,0.887602,0.000061,0.063939,0.223480,14780,14553,512,227,64.110132,0,5.465762,0
43,46.450145,0.194352,15.951314,0.066742,15.951314,0.066742,0.000000,30.498831,15.951314,0.066742,31.266496,0.002480,0.767665,0.000061,0.063530,0.150607,12846,12607,512,239,52.748954,0,5.616369,0
44,51.550831,0.159108,20.398044,0.062957,20.398044,0.062957,0.000000,31.152786,20.398044,0.062957,31.270273,0.019816,0.117487,0.000074,0.062594,0.046812,1902,1578,512,324,4.870370,0,5.663182,0
45,44.761194,0.220498,13.764677,0.067806,13.764677,0.067806,0.000000,30.996517,13.764677,0.067806,31.610276,0.003121,0.613759,0.000061,0.064783,0.223167,10330,10127,512,203,49.886700,0,5.886349,0
46,39.570717,0.376864,8.227993,0.078362,8.227993,0.078362,0.000000,31.342724,8.227993,0.078362,32.682234,0.001595,1.339510,0.000065,0.065605,0.204194,20593,20488,512,105,195.123810,0,6.090542,0
47,64.218804,0.133511,31.676662,0.065856,31.676662,0.065856,0.000000,32.542143,31.676662,0.065856,33.000259,0.004690,0.458116,0.000065,0.064903,0.061271,7518,7037,512,481,14.629938,0,6.151814,0
48,53.542151,0.165254,20.643854,0.063716,20.643854,0.063716,0.000000,32.898297,20.643854,0.063716,33.008648,0.023410,0.110351,0.000078,0.063375,0.042517,1734,1410,512,324,4.351852,0,6.194331,0
49,56.123548,0.155467,23.309215,0.064568,23.309215,0.064568,0.000000,32.814334,23.309215,0.064568,33.131909,0.005613,0.317576,0.000054,0.063689,0.143408,6264,5903,512,361,16.351801,0,6.337739,0
50,58.156047,0.160652,25.099624,0.069336,25.099624,0.069336,0.000000,33.056423,25.099624,0.069336,34.712618,0.001438,1.656195,0.000069,0.064761,0.018817,24505,24143,512,362,66.693370,0,6.356556,0
51,76.866919,0.130504,42.266707,0.071760,42.266707,0.071760,0.000000,34.600213,42.266707,0.071760,37.717448,0.000970,3.117235,0.000080,0.066468,0.027879,39484,38895,512,589,66.035654,0,6.384434,0
