cdf,prefill_e2e_time,replica
0.03,12.699030308329727,1
0.04,13.754092505923992,1
0.05,17.673478640570885,1
0.06,18.768087508197706,1
0.07,19.97545299131648,1
0.08,20.450113320121684,1
0.09,21.335665484393076,1
0.1,23.904841893871957,1
0.11,26.285653603278455,1
0.12,26.347457099686725,1
0.13,27.80630931702744,1
0.14,29.960990157359024,1
0.15,34.09141773063977,1
0.16,35.104501275131675,1
0.17,39.53564730305426,1
0.18,42.73803063432467,1
0.19,68.09116792180126,1
0.2,68.530352262236,1
0.21,68.99486544463349,1
0.22,70.65108406313651,1
0.23,77.41877522952967,1
0.24,88.20255566990487,1
0.25,88.39227656696349,1
0.26,88.63163091074298,1
0.27,88.76774170388272,1
0.28,91.35367138978765,1
0.29,91.51579108905047,1
0.3,92.26689659395807,1
0.31,93.0202314532784,1
0.32,93.64716526650405,1
0.33,94.85162845169279,1
0.34,95.55687623857517,1
0.35000000000000003,103.91608862904559,1
0.36,104.89607758267292,1
0.37,112.30701419131549,1
0.38,113.10426284658608,1
0.39,115.076656841869,1
0.4,116.15512098370161,1
0.41000000000000003,120.0183361536926,1
0.42,121.20904582931709,1
0.43,127.10361655537183,1
0.44,128.7852521863273,1
0.45,128.89761927223492,1
0.46,133.18289223606538,1
0.47000000000000003,141.66479220456543,1
0.48,150.29710561083212,1
0.49,152.05974768430085,1
0.5,152.37716404773278,1
0.51,153.19177472133325,1
0.52,154.10809214893607,1
0.53,155.1613082960745,1
0.54,155.98636381439698,1
0.55,158.1737252244616,1
0.56,159.45017478671784,1
0.5700000000000001,167.27991851376663,1
0.58,173.22449487968547,1
0.59,174.3133862624711,1
0.6,176.03075500154898,1
0.61,177.2606015600679,1
0.62,177.9896897289893,1
0.63,180.91898064924186,1
0.64,183.339779470639,1
0.65,183.9407711551903,1
0.66,184.10152169577353,1
0.67,185.85282739782159,1
0.68,186.4367944942115,1
0.6900000000000001,187.29014583930982,1
0.7000000000000001,194.6566980852985,1
0.71,196.39684774815498,1
0.72,198.38393794749086,1
0.73,198.7343271576691,1
0.74,200.4102262495162,1
0.75,210.11512989428977,1
0.76,210.592369340898,1
0.77,211.1289565546638,1
0.78,213.94921041698063,1
0.79,214.62244806327712,1
0.8,215.4880503297567,1
0.81,228.88217884776293,1
0.8200000000000001,232.55187192490837,1
0.8300000000000001,236.10188207177856,1
0.84,237.88037902054288,1
0.85,238.71400898781454,1
0.86,241.05549006673942,1
0.87,241.5298150365935,1
0.88,243.56037941620662,1
0.89,243.62445166528835,1
0.9,244.39274412074099,1
0.91,244.58176093390176,1
0.92,245.6152434526666,1
0.93,255.23577083976085,1
0.9400000000000001,255.5836805933761,1
0.9500000000000001,256.70415569713964,1
0.96,257.4335792803018,1
0.97,257.61866193140077,1
0.98,258.6998773201779,1
0.99,259.00118048460615,1
1.0,259.23340731263545,1
