time_stats.attn_input_reshape.min,time_stats.attn_input_reshape.max,time_stats.attn_input_reshape.mean,time_stats.attn_input_reshape.median,time_stats.attn_input_reshape.std,time_stats.attn_kv_cache_save.min,time_stats.attn_kv_cache_save.max,time_stats.attn_kv_cache_save.mean,time_stats.attn_kv_cache_save.median,time_stats.attn_kv_cache_save.std,time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,time_stats.attn_output_reshape.min,time_stats.attn_output_reshape.max,time_stats.attn_output_reshape.mean,time_stats.attn_output_reshape.median,time_stats.attn_output_reshape.std,n_embd,n_q_head,n_kv_head,block_size,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015553999999999974,0.0015679999999999837,1.5435025105254613e-05,0.01913500000000002,0.019680000000000034,0.019385600000000006,0.019360000000000013,0.00020586072962078063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2560,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.0015689999999999884,0.001555400000000003,0.001568000000000012,1.584424185627188e-05,0.018527999999999992,0.019519999999999982,0.019180399999999997,0.019168000000000036,0.00036219806736094017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2624,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015360000000000013,0.001516799999999995,0.0015039999999999908,1.5676734353817502e-05,0.019295999999999994,0.01955200000000002,0.019411400000000002,0.01936099999999999,9.395232833730819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2688,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015040000000000192,0.0015360000000000013,0.0015296000000000049,0.0015360000000000013,1.2799999999992852e-05,0.019327999999999946,0.019487000000000053,0.019405000000000013,0.019426000000000016,6.576321160042982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2752,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001535999999999973,0.0015360000000000013,0.0015359999999999957,0.0015360000000000013,1.1362521530871283e-17,0.01952000000000004,0.01971300000000005,0.01959700000000002,0.019584000000000032,6.624198064672357e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2816,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015679999999999837,0.001542199999999997,0.0015360000000000013,2.3735205918635695e-05,0.01945599999999999,0.019647999999999995,0.0195518,0.019551000000000016,7.297232352062672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2880,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015040000000000192,0.0015370000000000062,0.0015296000000000107,0.0015360000000000013,1.281561547487606e-05,0.02191900000000001,0.022110999999999992,0.022021800000000008,0.02204699999999997,6.523005442278434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,2944,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.001535999999999973,0.001568000000000012,0.0015613999999999977,0.0015679999999999837,1.2705904139427165e-05,0.021983000000000034,0.022241000000000014,0.02216260000000001,0.02217500000000001,9.438982996063798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,3008,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015040000000000192,0.001568000000000012,0.001542400000000009,0.0015360000000000013,2.394660727535209e-05,0.02201600000000002,0.022365999999999987,0.0222074,0.022208,0.00013237764161670671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,3072,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015360000000000013,0.001568000000000012,0.0015488,0.0015360000000000013,1.567673435381065e-05,0.022208,0.022462999999999993,0.02232279999999999,0.022304,8.208629605482143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,3136,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015039999999999908,0.0015679999999999837,0.0015357999999999947,0.0015360000000000013,2.024252948620572e-05,0.022208,0.022496000000000037,0.0223422,0.022303999999999973,0.00010607242808572795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,3200,True,AttentionBackend.FLASHINFER
0.0,0.0,0.0,0.0,0.0,0.0015040000000000192,0.0015360000000000013,0.0015232000000000086,0.0015360000000000013,1.5676734353803587e-05,0.021791000000000026,0.022177000000000023,0.02202860000000001,0.022111999999999996,0.00014029198123912773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,32,4,16,1,4096,1,64,3264,True,AttentionBackend.FLASHINFER
