cdf,request_e2e_time,replica
0.21,10.422882903707805,1
0.22,10.556406053403695,1
0.23,10.689929203099584,1
0.24,10.823452352795474,1
0.25,10.956975502491364,1
0.26,11.090498652187256,1
0.27,11.222991669621242,1
0.28,11.353424422531422,1
0.29,11.483857175441603,1
0.3,11.614289928351784,1
0.31,11.744722681261964,1
0.32,11.875155434172145,1
0.33,12.005588187082326,1
0.34,12.085399330728062,1
0.35000000000000003,12.139899669741578,1
0.36,12.194400008755093,1
0.37,12.248900347768608,1
0.38,12.303400686782124,1
0.39,12.35790102579564,1
0.4,12.412401364809154,1
0.41000000000000003,12.882613320514743,1
0.42,13.352825276220335,1
0.43,13.823037231925927,1
0.44,14.293249187631515,1
0.45,14.763461143337107,1
0.46,15.233673099042699,1
0.47000000000000003,15.707779017926994,1
0.48,16.189672863168703,1
0.49,16.671566708410413,1
0.5,17.153460553652124,1
0.51,17.635354398893835,1
0.52,18.117248244135546,1
0.53,18.599142089377253,1
0.54,18.921112553835687,1
0.55,19.16312132790248,1
0.56,19.405130101969277,1
0.5700000000000001,19.647138876036074,1
0.58,19.889147650102863,1
0.59,20.13115642416966,1
0.6,20.373165198236457,1
0.61,20.905236062883535,1
0.62,21.437306927530617,1
0.63,21.96937779217769,1
0.64,22.50144865682477,1
0.65,23.03351952147185,1
0.66,23.565590386118927,1
0.67,23.938830443065953,1
0.68,23.99440888461288,1
0.6900000000000001,24.049987326159805,1
0.7000000000000001,24.10556576770673,1
0.71,24.161144209253653,1
0.72,24.216722650800577,1
0.73,24.272301092347504,1
0.74,24.32383435013921,1
0.75,24.373345016053314,1
0.76,24.422855681967413,1
0.77,24.472366347881515,1
0.78,24.521877013795613,1
0.79,24.571387679709716,1
0.8,24.620898345623814,1
0.81,24.770529150106743,1
0.8200000000000001,24.920159954589668,1
0.8300000000000001,25.069790759072596,1
0.84,25.219421563555525,1
0.85,25.369052368038453,1
0.86,25.51868317252138,1
0.87,25.643102729699006,1
0.88,25.71709979226603,1
0.89,25.791096854833054,1
0.9,25.86509391740008,1
0.91,25.939090979967105,1
0.92,26.01308804253413,1
0.93,26.087085105101153,1
0.9400000000000001,26.16367210852049,1
0.9500000000000001,26.241554082365987,1
0.96,26.319436056211483,1
0.97,26.39731803005698,1
0.98,26.47520000390248,1
0.99,26.553081977747976,1
1.0,26.630963951593472,1
0.0,0.2661002356926261,2
0.01,0.5037059768631577,2
0.02,0.7413117180336892,2
0.03,0.9789174592042207,2
0.04,1.2165232003747524,2
0.05,1.4541289415452838,2
0.06,1.6917346827158153,2
0.07,2.0723703455594014,2
0.08,2.739065851749095,2
0.09,3.405761357938788,2
0.1,4.072456864128483,2
0.11,4.739152370318177,2
0.12,5.4058478765078695,2
0.13,6.072543382697565,2
0.14,6.327558952058406,2
0.15,6.376734553004821,2
0.16,6.4259101539512375,2
0.17,6.475085754897654,2
0.18,6.524261355844069,2
0.19,6.573436956790485,2
0.2,6.6226125577369,2
0.21,7.166635229089263,2
0.22,7.7106579004416265,2
0.23,8.25468057179399,2
0.24,8.798703243146353,2
0.25,9.342725914498716,2
0.26,9.88674858585108,2
0.27,10.254501132937232,2
0.28,10.26971343149096,2
0.29,10.284925730044689,2
0.3,10.300138028598418,2
0.31,10.315350327152146,2
0.32,10.330562625705875,2
0.33,10.345774924259603,2
0.34,10.382218486287416,2
0.35000000000000003,10.429277680052271,2
0.36,10.476336873817125,2
0.37,10.52339606758198,2
0.38,10.570455261346837,2
0.39,10.61751445511169,2
0.4,10.664573648876546,2
0.41000000000000003,10.67928469449999,2
0.42,10.693995740123437,2
0.43,10.708706785746884,2
0.44,10.723417831370329,2
0.45,10.738128876993773,2
0.46,10.75283992261722,2
0.47000000000000003,10.76482118775556,2
0.48,10.771342891923688,2
0.49,10.777864596091815,2
0.5,10.784386300259943,2
0.51,10.790908004428069,2
0.52,10.797429708596196,2
0.53,10.803951412764324,2
0.54,10.815045723587504,2
0.55,10.828426337738208,2
0.56,10.841806951888913,2
0.5700000000000001,10.855187566039618,2
0.58,10.868568180190321,2
0.59,10.881948794341026,2
0.6,10.895329408491731,2
0.61,10.930849818667452,2
0.62,10.966370228843173,2
0.63,11.001890639018894,2
0.64,11.037411049194617,2
0.65,11.072931459370338,2
0.66,11.108451869546059,2
0.67,11.154746176005972,2
0.68,11.222588275034267,2
0.6900000000000001,11.290430374062563,2
0.7000000000000001,11.35827247309086,2
0.71,11.426114572119154,2
0.72,11.493956671147451,2
0.73,11.561798770175747,2
0.74,11.620890961438318,2
0.75,11.675608198818026,2
0.76,11.730325436197734,2
0.77,11.785042673577443,2
0.78,11.839759910957152,2
0.79,11.894477148336861,2
0.8,11.949194385716568,2
0.81,12.35257575678304,2
0.8200000000000001,12.755957127849506,2
0.8300000000000001,13.159338498915975,2
0.84,13.562719869982446,2
0.85,13.966101241048916,2
0.86,14.369482612115387,2
0.87,14.808800190527117,2
0.88,15.319990183629361,2
0.89,15.831180176731612,2
0.9,16.342370169833863,2
0.91,16.853560162936112,2
0.92,17.36475015603836,2
0.93,17.87594014914061,2
0.9400000000000001,18.1428521651396,2
0.9500000000000001,18.287625192586965,2
0.96,18.43239822003433,2
0.97,18.577171247481697,2
0.98,18.72194427492906,2
0.99,18.86671730237643,2
1.0,19.011490329823793,2
0.0,8.505295222646097,3
0.01,8.79505401491334,3
0.02,9.084812807180583,3
0.03,9.374571599447824,3
0.04,9.664330391715067,3
0.05,9.95408918398231,3
0.06,10.243847976249553,3
0.07,10.758610522702678,3
0.08,11.723380577527571,3
0.09,12.688150632352462,3
0.1,13.652920687177355,3
0.11,14.617690742002246,3
0.12,15.582460796827139,3
0.13,16.54723085165203,3
0.14,17.074970378609088,3
0.15,17.384194641632227,3
0.16,17.693418904655367,3
0.17,18.002643167678507,3
0.18,18.311867430701646,3
0.19,18.621091693724786,3
0.2,18.930315956747926,3
0.21,18.96503434082354,3
0.22,18.999752724899153,3
0.23,19.034471108974763,3
0.24,19.069189493050377,3
0.25,19.10390787712599,3
0.26,19.138626261201605,3
0.27,19.211619230230554,3
0.28,19.36116136916618,3
0.29,19.510703508101802,3
0.3,19.660245647037428,3
0.31,19.80978778597305,3
0.32,19.959329924908673,3
0.33,20.1088720638443,3
0.34,20.19057018433231,3
0.35000000000000003,20.238346295596514,3
0.36,20.286122406860716,3
0.37,20.33389851812492,3
0.38,20.381674629389124,3
