cdf,prefill_time_execution_plus_preemption_normalized,replica
0.61,6.034265710722056e-05,1
0.62,6.042620344595672e-05,1
0.63,6.0509749784692876e-05,1
0.64,6.059329612342904e-05,1
0.65,6.06768424621652e-05,1
0.66,6.076038880090137e-05,1
0.67,6.106753073556752e-05,1
0.68,6.182186386209362e-05,1
0.6900000000000001,6.257619698861973e-05,1
0.7000000000000001,6.333053011514585e-05,1
0.71,6.408486324167196e-05,1
0.72,6.483919636819806e-05,1
0.73,6.559352949472418e-05,1
0.74,6.619027232438304e-05,1
0.75,6.670822000560827e-05,1
0.76,6.72261676868335e-05,1
0.77,6.774411536805874e-05,1
0.78,6.826206304928397e-05,1
0.79,6.87800107305092e-05,1
0.8,6.929795841173443e-05,1
0.81,7.104152722894499e-05,1
0.8200000000000001,7.278509604615554e-05,1
0.8300000000000001,7.45286648633661e-05,1
0.84,7.627223368057667e-05,1
0.85,7.801580249778723e-05,1
0.86,7.97593713149978e-05,1
0.87,8.208951176819573e-05,1
0.88,8.55927954933683e-05,1
0.89,8.909607921854091e-05,1
0.9,9.259936294371353e-05,1
0.91,9.610264666888615e-05,1
0.92,9.960593039405876e-05,1
0.93,0.00010310921411923137,1
0.9400000000000001,0.00010755903524883348,1
0.9500000000000001,0.0001124821250806504,1
0.96,0.00011740521491246726,1
0.97,0.0001223283047442842,1
0.98,0.00012725139457610111,1
0.99,0.00013217448440791803,1
1.0,0.00013709757423973495,1
0.0,3.597918387903877e-05,2
0.01,3.73195460827692e-05,2
0.02,3.865990828649963e-05,2
0.03,4.0000270490230064e-05,2
0.04,4.1340632693960497e-05,2
0.05,4.268099489769093e-05,2
0.06,4.402135710142136e-05,2
0.07,4.5079851818197846e-05,2
0.08,4.557461156106645e-05,2
0.09,4.606937130393505e-05,2
0.1,4.6564131046803654e-05,2
0.11,4.705889078967225e-05,2
0.12,4.755365053254085e-05,2
0.13,4.8048410275409456e-05,2
0.14,4.82172415657744e-05,2
0.15,4.822310862988751e-05,2
0.16,4.822897569400062e-05,2
0.17,4.8234842758113735e-05,2
0.18,4.824070982222685e-05,2
0.19,4.824657688633996e-05,2
0.2,4.825244395045307e-05,2
0.21,4.833555535164135e-05,2
0.22,4.841866675282964e-05,2
0.23,4.850177815401792e-05,2
0.24,4.858488955520621e-05,2
0.25,4.866800095639449e-05,2
0.26,4.875111235758278e-05,2
0.27,4.895921583141148e-05,2
0.28,4.9417303450521036e-05,2
0.29,4.987539106963058e-05,2
0.3,5.033347868874013e-05,2
0.31,5.079156630784968e-05,2
0.32,5.124965392695923e-05,2
0.33,5.1707741546068783e-05,2
0.34,5.209185211919066e-05,2
0.35000000000000003,5.243897416931869e-05,2
0.36,5.278609621944672e-05,2
0.37,5.313321826957476e-05,2
0.38,5.3480340319702794e-05,2
0.39,5.382746236983083e-05,2
0.4,5.4174584419958865e-05,2
0.41000000000000003,5.481620453641385e-05,2
0.42,5.545782465286885e-05,2
0.43,5.609944476932384e-05,2
0.44,5.6741064885778836e-05,2
0.45,5.738268500223382e-05,2
0.46,5.802430511868882e-05,2
0.47000000000000003,5.850023863513583e-05,2
0.48,5.864479895156687e-05,2
0.49,5.878935926799791e-05,2
0.5,5.893391958442895e-05,2
0.51,5.907847990085998e-05,2
0.52,5.9223040217291024e-05,2
0.53,5.9367600533722064e-05,2
0.54,5.9477453099279064e-05,2
0.55,5.956995178939904e-05,2
0.56,5.966245047951902e-05,2
0.5700000000000001,5.975494916963901e-05,2
0.58,5.984744785975899e-05,2
0.59,5.993994654987897e-05,2
0.6,6.003244523999895e-05,2
0.61,6.0276369715345466e-05,2
0.62,6.052029419069199e-05,2
0.63,6.076421866603851e-05,2
0.64,6.100814314138503e-05,2
0.65,6.125206761673155e-05,2
0.66,6.149599209207808e-05,2
0.67,6.171096566155875e-05,2
0.68,6.18680374193077e-05,2
0.6900000000000001,6.202510917705664e-05,2
0.7000000000000001,6.21821809348056e-05,2
0.71,6.233925269255454e-05,2
0.72,6.24963244503035e-05,2
0.73,6.265339620805245e-05,2
0.74,6.303809569668521e-05,2
0.75,6.353660905075985e-05,2
0.76,6.40351224048345e-05,2
0.77,6.453363575890915e-05,2
0.78,6.50321491129838e-05,2
0.79,6.553066246705846e-05,2
0.8,6.60291758211331e-05,2
0.81,6.746463597426295e-05,2
0.8200000000000001,6.890009612739277e-05,2
0.8300000000000001,7.033555628052262e-05,2
0.84,7.177101643365247e-05,2
0.85,7.320647658678232e-05,2
0.86,7.464193673991217e-05,2
0.87,7.560430692519937e-05,2
0.88,7.562049717480134e-05,2
0.89,7.563668742440331e-05,2
0.9,7.565287767400528e-05,2
0.91,7.566906792360723e-05,2
0.92,7.56852581732092e-05,2
0.93,7.570144842281117e-05,2
0.9400000000000001,7.686740377340303e-05,2
0.9500000000000001,7.860824167448986e-05,2
0.96,8.034907957557665e-05,2
0.97,8.208991747666347e-05,2
0.98,8.38307553777503e-05,2
0.99,8.557159327883712e-05,2
1.0,8.731243117992394e-05,2
0.0,4.30255993776906e-05,3
0.01,4.347591153057258e-05,3
0.02,4.392622368345455e-05,3
0.03,4.437653583633653e-05,3
0.04,4.4826847989218504e-05,3
0.05,4.5277160142100475e-05,3
0.06,4.572747229498245e-05,3
0.07,4.6331184730198526e-05,3
0.08,4.724169773008281e-05,3
0.09,4.815221072996709e-05,3
0.1,4.906272372985137e-05,3
0.11,4.997323672973565e-05,3
0.12,5.088374972961993e-05,3
0.13,5.1794262729504215e-05,3
0.14,5.241085750666817e-05,3
0.15,5.288049317247197e-05,3
0.16,5.335012883827577e-05,3
0.17,5.381976450407957e-05,3
0.18,5.428940016988336e-05,3
0.19,5.475903583568716e-05,3
0.2,5.522867150149096e-05,3
0.21,5.5382568739977754e-05,3
0.22,5.553646597846455e-05,3
0.23,5.569036321695135e-05,3
0.24,5.5844260455438144e-05,3
0.25,5.5998157693924936e-05,3
0.26,5.6152054932411735e-05,3
0.27,5.645800092166632e-05,3
0.28,5.706804441245648e-05,3
0.29,5.7678087903246645e-05,3
0.3,5.8288131394036806e-05,3
0.31,5.889817488482697e-05,3
0.32,5.950821837561713e-05,3
0.33,6.011826186640729e-05,3
0.34,6.034291821708538e-05,3
0.35000000000000003,6.037488099770743e-05,3
0.36,6.0406843778329485e-05,3
0.37,6.043880655895154e-05,3
0.38,6.047076933957358e-05,3
0.39,6.0502732120195636e-05,3
0.4,6.053469490081769e-05,3
0.41000000000000003,6.128672296991241e-05,3
0.42,6.203875103900714e-05,3
0.43,6.279077910810186e-05,3
0.44,6.354280717719658e-05,3
0.45,6.42948352462913e-05,3
0.46,6.504686331538603e-05,3
0.47000000000000003,6.561011306143179e-05,3
0.48,6.579580616137964e-05,3
0.49,6.598149926132749e-05,3
0.5,6.616719236127532e-05,3
0.51,6.635288546122317e-05,3
0.52,6.653857856117102e-05,3
0.53,6.672427166111887e-05,3
0.54,6.681863452682833e-05,3
0.55,6.686733227541861e-05,3
0.56,6.691603002400888e-05,3
0.5700000000000001,6.696472777259916e-05,3
0.58,6.701342552118944e-05,3
0.59,6.706212326977971e-05,3
0.6,6.711082101836999e-05,3
0.61,6.711152864194274e-05,3
0.62,6.711223626551548e-05,3
0.63,6.711294388908822e-05,3
0.64,6.711365151266097e-05,3
0.65,6.711435913623371e-05,3
0.66,6.711506675980646e-05,3
0.67,6.71354438691806e-05,3
0.68,6.719515995015755e-05,3
0.6900000000000001,6.72548760311345e-05,3
0.7000000000000001,6.731459211211144e-05,3
0.71,6.73743081930884e-05,3
0.72,6.743402427406535e-05,3
0.73,6.74937403550423e-05,3
0.74,6.795801930235835e-05,3
0.75,6.862457968284395e-05,3
0.76,6.929114006332954e-05,3
0.77,6.995770044381515e-05,3
0.78,7.062426082430075e-05,3
0.79,7.129082120478635e-05,3
0.8,7.195738158527194e-05,3
0.81,7.278517750267621e-05,3
0.8200000000000001,7.361297342008048e-05,3
0.8300000000000001,7.444076933748475e-05,3
0.84,7.526856525488902e-05,3
0.85,7.60963611722933e-05,3
0.86,7.692415708969756e-05,3
0.87,7.87689696649695e-05,3
0.88,8.264781555597668e-05,3
0.89,8.652666144698393e-05,3
0.9,9.040550733799117e-05,3
0.91,9.42843532289984e-05,3
0.92,9.816319912000564e-05,3
0.93,0.00010204204501101287,3
0.9400000000000001,0.00010388751969318633,3
0.9500000000000001,0.00010471630877094294,3
0.96,0.00010554509784869955,3
0.97,0.00010637388692645617,3
0.98,0.00010720267600421278,3
0.99,0.0001080314650819694,3
1.0,0.00010886025415972602,3
0.0,3.432042756408972e-05,4
0.01,3.574442621155698e-05,4
0.02,3.716842485902425e-05,4
0.03,3.859242350649151e-05,4
0.04,4.0016422153958774e-05,4
0.05,4.1440420801426036e-05,4
0.06,4.2864419448893304e-05,4
0.07,4.40074750953239e-05,4
0.08,4.4588644739681166e-05,4
0.09,4.5169814384038424e-05,4
0.1,4.575098402839569e-05,4
0.11,4.633215367275295e-05,4
0.12,4.6913323317110216e-05,4
0.13,4.749449296146748e-05,4
0.14,4.782023389834403e-05,4
0.15,4.801826048148022e-05,4
0.16,4.82162870646164e-05,4
0.17,4.841431364775259e-05,4
0.18,4.861234023088877e-05,4
0.19,4.8810366814024964e-05,4
0.2,4.900839339716115e-05,4
0.21,4.907629765575012e-05,4
0.22,4.9144201914339085e-05,4
0.23,4.921210617292806e-05,4
0.24,4.928001043151703e-05,4
0.25,4.934791469010599e-05,4
0.26,4.9415818948694964e-05,4
0.27,4.9496363968151084e-05,4
0.28,4.960219050934151e-05,4
0.29,4.9708017050531925e-05,4
0.3,4.981384359172235e-05,4
0.31,4.9919670132912765e-05,4
0.32,5.002549667410318e-05,4
0.33,5.0131323215293605e-05,4
0.34,5.019264540000554e-05,4
0.35000000000000003,5.023171540647823e-05,4
0.36,5.027078541295092e-05,4
0.37,5.030985541942362e-05,4
0.38,5.034892542589631e-05,4
0.39,5.0387995432369004e-05,4
0.4,5.042706543884169e-05,4
0.41000000000000003,5.047364726322621e-05,4
0.42,5.052022908761072e-05,4
0.43,5.0566810911995244e-05,4
0.44,5.061339273637976e-05,4
0.45,5.065997456076427e-05,4
0.46,5.070655638514879e-05,4
0.47000000000000003,5.073765448678477e-05,4
0.48,5.073778514292366e-05,4
0.49,5.073791579906255e-05,4
0.5,5.073804645520145e-05,4
0.51,5.0738177111340345e-05,4
0.52,5.073830776747924e-05,4
0.53,5.073843842361813e-05,4
0.54,5.0889797483624324e-05,4
0.55,5.111677074556415e-05,4
0.56,5.134374400750398e-05,4
0.5700000000000001,5.1570717269443814e-05,4
0.58,5.179769053138364e-05,4
0.59,5.202466379332347e-05,4
0.6,5.2251637055263303e-05,4
0.61,5.2404795716332114e-05,4
0.62,5.255795437740092e-05,4
0.63,5.271111303846973e-05,4
0.64,5.286427169953853e-05,4
0.65,5.3017430360607344e-05,4
0.66,5.317058902167615e-05,4
0.67,5.3364616671750434e-05,4
0.68,5.364038229983566e-05,4
0.6900000000000001,5.391614792792089e-05,4
0.7000000000000001,5.419191355600612e-05,4
0.71,5.446767918409135e-05,4
0.72,5.474344481217658e-05,4
0.73,5.501921044026181e-05,4
0.74,5.5157023604222554e-05,4
0.75,5.522586053612105e-05,4
0.76,5.529469746801955e-05,4
0.77,5.536353439991804e-05,4
0.78,5.543237133181653e-05,4
0.79,5.550120826371503e-05,4
0.8,5.5570045195613526e-05,4
0.81,5.571434757846139e-05,4
0.8200000000000001,5.585864996130925e-05,4
0.8300000000000001,5.600295234415711e-05,4
0.84,5.614725472700497e-05,4
0.85,5.629155710985283e-05,4
0.86,5.6435859492700696e-05,4
0.87,5.676977898244674e-05,4
0.88,5.748293268598915e-05,4
0.89,5.819608638953156e-05,4
0.9,5.890924009307397e-05,4
0.91,5.962239379661638e-05,4
0.92,6.0335547500158793e-05,4
0.93,6.104870120370121e-05,4
0.9400000000000001,6.160515343201888e-05,4
0.9500000000000001,6.208325492272421e-05,4
0.96,6.256135641342953e-05,4
0.97,6.303945790413485e-05,4
0.98,6.351755939484018e-05,4
0.99,6.39956608855455e-05,4
1.0,6.447376237625082e-05,4
0.0,3.4440896823320104e-05,5
0.01,3.445065595597829e-05,5
0.02,3.446041508863648e-05,5
0.03,3.447017422129468e-05,5
0.04,3.447993335395287e-05,5
0.05,3.448969248661106e-05,5
0.06,3.449945161926925e-05,5
0.07,3.47854636784932e-05,5
0.08,3.562398159084867e-05,5
0.09,3.646249950320414e-05,5
0.1,3.7301017415559616e-05,5
0.11,3.813953532791509e-05,5
0.12,3.897805324027056e-05,5
0.13,3.9816571152626035e-05,5
0.14,4.0589032328005474e-05,5
0.15,4.132846513489689e-05,5
0.16,4.206789794178831e-05,5
0.17,4.280733074867973e-05,5
0.18,4.3546763555571146e-05,5
0.19,4.428619636246257e-05,5
0.2,4.502562916935399e-05,5
0.21,4.510611096033522e-05,5
0.22,4.518659275131644e-05,5
0.23,4.526707454229767e-05,5
0.24,4.5347556333278895e-05,5
0.25,4.542803812426012e-05,5
0.26,4.5508519915241344e-05,5
0.27,4.5827815250745737e-05,5
0.28,4.662473767529644e-05,5
0.29,4.742166009984714e-05,5
