cdf,prefill_time_execution_plus_preemption,replica
0.31,0.4781653495772553,1
0.32,0.501895363306866,1
0.33,0.5256253770364768,1
0.34,0.5354011839901525,1
0.35000000000000003,0.5381998875558605,1
0.36,0.5409985911215685,1
0.37,0.5437972946872766,1
0.38,0.5465959982529845,1
0.39,0.5493947018186927,1
0.4,0.5521934053844006,1
0.41000000000000003,0.5575294995421101,1
0.42,0.5628655936998195,1
0.43,0.5682016878575289,1
0.44,0.5735377820152383,1
0.45,0.5788738761729477,1
0.46,0.5842099703306571,1
0.47000000000000003,0.5953170035502265,1
0.48,0.617965914893516,1
0.49,0.6406148262368058,1
0.5,0.6632637375800954,1
0.51,0.685912648923385,1
0.52,0.7085615602666747,1
0.53,0.7312104716099642,1
0.54,0.7508050646614459,1
0.55,0.7688724985670232,1
0.56,0.7869399324726007,1
0.5700000000000001,0.8050073663781784,1
0.58,0.8230748002837557,1
0.59,0.8411422341893333,1
0.6,0.8592096680949108,1
0.61,0.8609033969150192,1
0.62,0.8625971257351275,1
0.63,0.8642908545552357,1
0.64,0.865984583375344,1
0.65,0.8676783121954523,1
0.66,0.8693720410155606,1
0.67,0.8798377306960022,1
0.68,0.9078473420971103,1
0.6900000000000001,0.935856953498218,1
0.7000000000000001,0.963866564899326,1
0.71,0.9918761763004337,1
0.72,1.0198857877015417,1
0.73,1.0478953991026496,1
0.74,1.1104782630276202,1
0.75,1.1903477532145226,1
0.76,1.2702172434014247,1
0.77,1.3500867335883269,1
0.78,1.4299562237752292,1
0.79,1.5098257139621314,1
0.8,1.5896952041490326,1
0.81,1.6360867166801916,1
0.8200000000000001,1.68247822921135,1
0.8300000000000001,1.728869741742509,1
0.84,1.775261254273668,1
0.85,1.821652766804827,1
0.86,1.868044279335986,1
0.87,1.9918993848362307,1
0.88,2.270681676274641,1
0.89,2.5494639677130544,1
0.9,2.8282462591514683,1
0.91,3.107028550589882,1
0.92,3.3858108420282953,1
0.93,3.664593133466709,1
0.9400000000000001,5.042637070678825,1
0.9500000000000001,6.970311830777806,1
0.96,8.897986590876766,1
0.97,10.825661350975746,1
0.98,12.753336111074729,1
0.99,14.681010871173712,1
1.0,16.608685631272692,1
0.0,0.05630742277069567,2
0.01,0.06700546649243358,2
0.02,0.07770351021417148,2
0.03,0.08840155393590937,2
0.04,0.09909959765764728,2
0.05,0.10979764137938519,2
0.06,0.12049568510112309,2
0.07,0.12776797664894843,2
0.08,0.12818876384894864,2
0.09,0.12860955104894883,2
0.1,0.12903033824894905,2
0.11,0.12945112544894927,2
0.12,0.12987191264894946,2
0.13,0.13029269984894967,2
0.14,0.13125450615021067,2
0.15,0.13248682200210204,2
0.16,0.13371913785399342,2
0.17,0.13495145370588482,2
0.18,0.1361837695577762,2
0.19,0.1374160854096676,2
0.2,0.13864840126155897,2
0.21,0.14100739446657612,2
0.22,0.1433663876715933,2
0.23,0.14572538087661044,2
0.24,0.14808437408162758,2
0.25,0.15044336728664476,2
0.26,0.15280236049166193,2
0.27,0.15562946481713996,2
0.28,0.15939279138353976,2
0.29,0.16315611794993953,2
0.3,0.16691944451633933,2
0.31,0.17068277108273913,2
0.32,0.1744460976491389,2
0.33,0.17820942421553873,2
0.34,0.1825053987874167,2
0.35000000000000003,0.18706769736203377,2
0.36,0.19162999593665084,2
0.37,0.1961922945112679,2
0.38,0.200754593085885,2
0.39,0.20531689166050207,2
0.4,0.20987919023511914,2
0.41000000000000003,0.23443084404631936,2
0.42,0.2589824978575197,2
0.43,0.2835341516687201,2
0.44,0.30808580547992026,2
0.45,0.33263745929112065,2
0.46,0.357189113102321,2
0.47000000000000003,0.39172428908613544,2
0.48,0.4462265094151784,2
0.49,0.5007287297442217,2
0.5,0.5552309500732648,2
0.51,0.6097331704023081,2
0.52,0.6642353907313514,2
0.53,0.7187376110603944,2
0.54,0.739362311913762,2
0.55,0.7430482530292919,2
0.56,0.7467341941448219,2
0.5700000000000001,0.7504201352603519,2
0.58,0.7541060763758818,2
0.59,0.7577920174914118,2
0.6,0.7614779586069418,2
0.61,0.76702957965643,2
0.62,0.7725812007059182,2
0.63,0.7781328217554063,2
0.64,0.7836844428048946,2
0.65,0.7892360638543827,2
0.66,0.794787684903871,2
0.67,0.8077863944162388,2
0.68,0.8356792808543654,2
0.6900000000000001,0.8635721672924918,2
0.7000000000000001,0.8914650537306184,2
0.71,0.9193579401687446,2
0.72,0.9472508266068713,2
0.73,0.9751437130449979,2
0.74,1.012173401077366,2
0.75,1.0537714899068547,2
0.76,1.0953695787363433,2
0.77,1.1369676675658322,2
0.78,1.178565756395321,2
0.79,1.2201638452248096,2
0.8,1.2617619340542978,2
0.81,1.33662755306585,2
0.8200000000000001,1.411493172077401,2
0.8300000000000001,1.4863587910889533,2
0.84,1.5612244101005053,2
0.85,1.6360900291120575,2
0.86,1.7109556481236097,2
0.87,1.8200536449076459,2
0.88,1.997616397236647,2
0.89,2.1751791495656505,2
0.9,2.3527419018946536,2
0.91,2.5303046542236567,2
0.92,2.7078674065526602,2
0.93,2.8854301588816633,2
0.9400000000000001,3.0903328592426647,2
0.9500000000000001,3.3089055336196687,2
0.96,3.52747820799667,2
0.97,3.7460508823736736,2
0.98,3.9646235567506776,2
0.99,4.183196231127681,2
1.0,4.401768905504685,2
0.0,0.06572752760677858,3
0.01,0.06807003272128709,3
0.02,0.0704125378357956,3
0.03,0.0727550429503041,3
0.04,0.07509754806481261,3
0.05,0.07744005317932112,3
0.06,0.07978255829382963,3
0.07,0.08295445435873816,3
0.08,0.08778513232444674,3
0.09,0.09261581029015531,3
0.1,0.09744648825586388,3
0.11,0.10227716622157246,3
